state,wildfire,flood,earthquake,hurricane,tornado,tsunami,terrorism,prep_gap,funding_potential,composite_score,priority_tier,key_hazards,top_programs,em_agency_url,grants_page_url,statewide_portal_url
Ohio,2,5,2,1,5,1,5,5,5,4.1,Tier 4 - Monitor,"Tornado, flood, severe storms","HSGP, EMA grants, AFG, EMPG",https://ema.ohio.gov,https://ema.ohio.gov/prepare-respond/preparedness-grants,
Kentucky,2,7,3,1,5,1,3,5,5,4.0,Tier 4 - Monitor,"Flood, tornado, earthquake (New Madrid edge)","HSGP, KYEM grants, HMGP, EMPG",https://kyem.ky.gov,https://kyem.ky.gov/Who%20We%20Are/Pages/Grants.aspx,
Indiana,2,5,1,1,6,1,4,5,5,3.9,Tier 4 - Monitor,"Tornado, flood, severe storms","HSGP, DHS grants, AFG, EMPG",https://www.in.gov/dhs,https://www.in.gov/dhs/grants-management/,
Minnesota,2,5,1,1,5,1,4,5,5,3.9,Tier 4 - Monitor,"Flood, tornado, severe winter storms","HSGP, HSEM grants, EMPG, AFG",https://dps.mn.gov/divisions/hsem,https://dps.mn.gov/divisions/hsem/programs/Pages/homeland-security-and-emergency-management-grants.aspx,
Nebraska,2,6,1,1,7,1,3,5,5,3.9,Tier 4 - Monitor,"Tornado, flood, severe storms","HSGP, NEMA grants, AFG, EMPG",https://nema.nebraska.gov,https://nema.nebraska.gov/grants,
Delaware,2,6,1,7,1,1,4,4,5,3.9,Tier 4 - Monitor,"Hurricane (20% homes surge risk), flood","HSGP, DEMA grants, HMGP",https://dema.delaware.gov,https://dema.delaware.gov/grants/,
New Mexico,6,4,3,1,2,1,3,5,5,3.8,Tier 4 - Monitor,"Wildfire, drought, flash flood","HSGP, DHSEM grants, AFG, EMPG",https://www.nmdhsem.org,https://www.nmdhsem.org/grants/,
Connecticut,2,5,1,4,1,1,5,4,5,3.7,Tier 4 - Monitor,"Flood, hurricane, nor'easter","HSGP, DEMHS grants, EMPG",https://portal.ct.gov/demhs,https://portal.ct.gov/demhs/funding-and-grants,
Wisconsin,2,5,1,1,4,1,4,4,5,3.6,Tier 4 - Monitor,"Flood, tornado, severe storms","HSGP, WEM grants, EMPG, AFG",https://wem.wi.gov,https://wem.wi.gov/grants/,
Montana,6,4,3,1,2,1,2,4,5,3.5,Tier 4 - Monitor,"Wildfire, drought, severe weather","HSGP, DES grants, AFG, EMPG",https://dma.mt.gov/Disaster-and-Emergency-Services,https://dma.mt.gov/Disaster-and-Emergency-Services/Grants,
West Virginia,2,6,2,1,2,1,2,4,5,3.3,Tier 4 - Monitor,"Flood, landslide, severe storms","HSGP, EMD grants, HMGP, EMPG",https://emd.wv.gov,https://emd.wv.gov/Pages/GrantPrograms.aspx,
New Hampshire,2,5,1,2,1,1,3,4,5,3.3,Tier 4 - Monitor,"Flood (97.2% maps outdated), nor'easter, winter storms","HSGP, HSEM grants, HMGP, EMPG",https://www.nh.gov/safety/divisions/hsem,https://www.nh.gov/safety/divisions/hsem/grants/,
Rhode Island,2,5,1,4,1,1,4,3,4,3.1,Tier 4 - Monitor,"Flood, hurricane, coastal surge","HSGP, RIEMA grants, EMPG",https://www.riema.ri.gov,https://www.riema.ri.gov/grants,
Maine,2,4,1,3,1,1,3,3,4,2.9,Tier 4 - Monitor,"Flood, nor'easter, winter storms","HSGP, MEMA grants, EMPG",https://www.maine.gov/mema,https://www.maine.gov/mema/grants,
Wyoming,4,3,3,1,3,1,2,3,4,2.9,Tier 4 - Monitor,"Wildfire, severe weather, earthquake","HSGP, HLS grants, EMPG, AFG",https://hls.wyo.gov,https://hls.wyo.gov/grants,
North Dakota,2,5,1,1,5,1,2,3,4,2.9,Tier 4 - Monitor,"Flood, tornado, severe storms","HSGP, DES grants, EMPG",https://www.nd.gov/des,https://www.nd.gov/des/grants,
Vermont,2,5,1,1,1,1,2,3,4,2.6,Tier 4 - Monitor,"Flood, severe storms, winter weather","HSGP, VEM grants, EMPG",https://vem.vermont.gov,https://vem.vermont.gov/funding,
