state,county,place,year,hazard,incident_type,what_happened,source_url
Massachusetts,Essex County,Lawrence,2018,other,evacuation_challenge,Sudden gas-system overpressure fires forced about 30;000 people to evacuate three towns at once; notification was split across state WEA and separate town systems,https://downloads.regulations.gov/PHMSA-2021-0046-0092/attachment_1.pdf
Kentucky,Knott County,Hindman,2022,flood,infrastructure_failure,Most residents learned of the overnight flood by watching water rise; NWS alerts often failed to arrive amid poor cell and broadband coverage; 39+ died,https://kentuckylantern.com/2023/03/27/kentuckians-lacked-forecasting-broadband-as-july-storms-quickly-swelled-into-deadly-flood/
Kentucky,Graves County,Mayfield,2021,tornado,evacuation_challenge,Candle factory workers said supervisors threatened firing if they left ahead of the tornado; the plant collapsed and eight workers died,https://www.nbcnews.com/news/us-news/kentucky-tornado-factory-workers-threatened-firing-left-tornado-employ-rcna8581
Michigan,Otsego County,Gaylord,2022,tornado,siren_failure,EF3 hit a city with no outdoor tornado sirens anywhere in Otsego County; CodeRED phone alerts went out eight minutes before touchdown; two died,https://www.wzzm13.com/article/news/local/no-sirens-before-gaylord-tornado/69-0aae4f7f-fa86-4189-b8ba-b50e1887c2b7
West Virginia,Greenbrier County,White Sulphur Springs,2016,flood,infrastructure_failure,Thousand-year flood killed 23; a 2004 statewide flood protection plan recommending warning system upgrades had never been implemented,https://mountainstatespotlight.org/2025/08/29/flood-fund-still-unfunded/
New Mexico,San Miguel County,Las Vegas,2022,wildfire,evacuation_challenge,More than 800 homes were ordered evacuated; the sheriff said the canyon's single route in and out created safety concerns during the state's largest fire,https://www.santafenewmexican.com/news/wildfires/new-wave-of-evacuations-in-hermits-peak-calf-canyon-fire/article_411038ba-d5fc-11ec-a4f6-1bdd3d3b3dc6.html
California,Los Angeles County,Pacific Palisades,2025,wildfire,evacuation_challenge,Evacuation gridlock led drivers to abandon nearly 200 cars on Palisades Drive and Sunset Blvd; bulldozers pushed vehicles aside to clear escape routes,https://ktla.com/news/california/wildfires/palisades-fire-bulldozer-abandoned-cars/
Oregon,Marion County,Salem,2018,other,false_alarm,Statewide WEA reading only 'civil emergency' was sent for a local drinking-water advisory; the cryptic alert caused panic well beyond Salem,https://ktvz.com/news/2018/05/30/ominous-civil-emergency-text-alert-a-mostly-false-alarm/
Washington,Snohomish County,Oso,2014,other,alert_not_sent,Landslide killed 43 with no warning; decades of documented slide hazard were never sufficiently communicated to residents below the hillside,https://www.seattletimes.com/seattle-news/after-2014-oso-landslide-what-did-we-learn-about-preventing-disaster/
Hawaii,Honolulu County,Honolulu,2025,tsunami,evacuation_challenge,Tsunami warning evacuation gridlocked Oahu roads for hours with multihour commutes; officials cited over-evacuation and gaps in evacuation planning,https://www.staradvertiser.com/2025/07/31/hawaii-news/tsunami-threat-triggered-islandwide-gridlock-reveals-gaps-in-emergency-evacuation/
Illinois,Madison County,Edwardsville,2021,tornado,evacuation_challenge,EF3 collapsed an Amazon warehouse; the storm shelter location was not properly communicated and six workers sheltering in a bathroom died,https://en.wikipedia.org/wiki/Edwardsville_Amazon_warehouse_collapse
California,Santa Cruz County,Santa Cruz,2020,wildfire,success_reference,County debuted Zonehaven evacuation zones during the CZU fire and retained the zone system for debris-flow evacuations in the burn scar,https://www.santacruzcountyca.gov/OR3/Response/PlanandPrepare/DebrisFlow.aspx
California,El Dorado County,South Lake Tahoe,2021,wildfire,success_reference,Cal Fire and Zonehaven officials said zone-based evacuations were carried out in a timely manner limiting injuries and deaths during the Caldor Fire,https://localnewsmatters.org/2021/10/28/technology-gives-critical-assist-to-firefighting-efforts/
California,Los Angeles County,Malibu,2024,wildfire,success_reference,City directed residents to Genasys Protect zone maps for real-time Franklin Fire evacuation status and phased zone-by-zone repopulation,https://www.malibucity.org/1167/Franklin-Fire
California,Los Angeles County,Countywide,2025,wildfire,success_reference,Emergency teams issued 400+ zone status changes via Genasys Protect in the first two weeks of the January fires; hundreds of thousands used the app,https://genasys.com/blog/a-new-era-in-emergency-response-reflecting-on-los-angeles-countys-wildfire-outbreak/
